Start, pb version:  ('primehub', '3.5.0', 'v1.20.0-23-g6c633a8dd on 2024-04-11')
yaw_angle=  3.7 heading_angle=  356.3
yaw_angle=  3.8 heading_angle=  356.2
yaw_angle=  3.8 heading_angle=  356.2
yaw_angle=  3.8 heading_angle=  356.2
yaw_angle=  3.9 heading_angle=  356.1
yaw_angle=  4.0 heading_angle=  356.0
yaw_angle=  4.0 heading_angle=  356.0
yaw_angle=  4.0 heading_angle=  356.0
yaw_angle=  4.1 heading_angle=  355.9
yaw_angle=  4.2 heading_angle=  355.8
yaw_angle=  4.3 heading_angle=  355.7
yaw_angle=  4.3 heading_angle=  355.7
yaw_angle=  4.3 heading_angle=  355.7
yaw_angle=  4.4 heading_angle=  355.6
yaw_angle=  4.4 heading_angle=  355.6
yaw_angle=  4.5 heading_angle=  355.5
yaw_angle=  4.5 heading_angle=  355.5
yaw_angle=  4.7 heading_angle=  355.3
yaw_angle=  4.7 heading_angle=  355.3
yaw_angle=  4.6 heading_angle=  355.4
yaw_angle=  4.6 heading_angle=  355.4
yaw_angle=  4.7 heading_angle=  355.3
yaw_angle=  4.7 heading_angle=  355.3
yaw_angle=  4.7 heading_angle=  355.3
yaw_angle=  4.8 heading_angle=  355.2
yaw_angle=  4.9 heading_angle=  355.1
yaw_angle=  4.9 heading_angle=  355.1
yaw_angle=  4.9 heading_angle=  355.1
yaw_angle=  5.0 heading_angle=  355.0
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.2 heading_angle=  354.8
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.0 heading_angle=  355.0
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.1 heading_angle=  354.9
yaw_angle=  5.2 heading_angle=  354.8
yaw_angle=  5.2 heading_angle=  354.8
yaw_angle=  5.2 heading_angle=  354.8
yaw_angle=  5.3 heading_angle=  354.7
yaw_angle=  5.4 heading_angle=  354.6
yaw_angle=  5.5 heading_angle=  354.5
yaw_angle=  5.5 heading_angle=  354.5
yaw_angle=  5.6 heading_angle=  354.4
yaw_angle=  5.6 heading_angle=  354.4
yaw_angle=  5.7 heading_angle=  354.3
yaw_angle=  5.8 heading_angle=  354.2
yaw_angle=  5.7 heading_angle=  354.3
yaw_angle=  5.8 heading_angle=  354.2
yaw_angle=  5.7 heading_angle=  354.3
yaw_angle=  5.7 heading_angle=  354.3
yaw_angle=  5.8 heading_angle=  354.2
yaw_angle=  5.8 heading_angle=  354.2
yaw_angle=  5.9 heading_angle=  354.1
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.0 heading_angle=  354.0
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.2 heading_angle=  353.8
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.1 heading_angle=  353.9
yaw_angle=  6.3 heading_angle=  353.7
yaw_angle=  6.3 heading_angle=  353.7
yaw_angle=  6.3 heading_angle=  353.7
yaw_angle=  6.4 heading_angle=  353.6
yaw_angle=  6.3 heading_angle=  353.7
yaw_angle=  6.4 heading_angle=  353.6
yaw_angle=  6.2 heading_angle=  353.8
yaw_angle=  6.1 heading_angle=  353.9
